Flow,Packets,Bytes,Application,Domain
13.67.9.5:443 -> 192.168.31.44:63583,5,1191,,
140.82.114.26:443 -> 192.168.31.44:50688,9,2995,,
192.168.31.44:50095 -> 91.108.56.141:80,7,0,,
194.221.250.50:443 -> 192.168.31.44:50120,13,3819,,
192.168.31.44:50283 -> 149.154.175.100:80,4,0,,
192.168.31.44:25479 -> 8.8.8.8:53,2,96,Unknown,vscode-sync.trafficmanager.net
192.168.31.44:49918 -> 149.154.175.100:80,2,0,,
192.168.31.44:50120 -> 194.221.250.50:443,15,2248,,
192.168.31.44:50092 -> 149.154.175.55:443,1,0,,
192.168.31.44:50097 -> 149.154.175.55:80,1,0,,
192.168.31.44:50085 -> 91.108.56.141:443,1,0,,
194.221.250.50:443 -> 192.168.31.44:50064,13,3898,,
34.49.39.67:443 -> 192.168.31.44:49941,8,980,,
192.168.31.44:60306 -> 8.8.8.8:53,2,100,Microsoft,mobile.events.data.microsoft.com
192.168.31.44:49969 -> 149.154.167.92:80,1,0,,
192.168.31.44:50280 -> 194.221.250.50:443,15,2133,,
192.168.31.44:50694 -> 185.199.111.133:443,6,1298,,
194.221.250.50:443 -> 192.168.31.44:50404,14,3800,,
192.168.31.44:50015 -> 149.154.167.92:443,1,0,,
192.168.31.44:50118 -> 149.154.175.55:80,2,0,,
192.168.31.44:50065 -> 91.108.56.141:443,4,0,,
192.168.31.44:50683 -> 149.154.167.92:443,4,0,,
192.168.31.12:8009 -> 192.168.31.44:61967,2,0,,
192.168.31.44:50044 -> 91.108.56.141:443,2,0,,
20.207.73.85:443 -> 192.168.31.44:50682,18,4431,,
192.168.31.44:50654 -> 91.108.56.141:443,7,0,,
192.168.31.44:50603 -> 194.221.250.50:443,9,1785,,
192.168.31.44:50276 -> 149.154.175.100:443,2,0,,
192.168.31.44:49816 -> 91.108.56.141:443,7,0,,
192.168.31.44:49890 -> 149.154.175.100:443,1,0,,
192.168.31.44:50039 -> 91.108.56.141:80,7,0,,
